Property_name,Renting_price,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng,WiFi,CarPark,AirCond,HsKpngServ,LndryServ,WashingMac,DryerMac,Gym,SwmPool,Kitchen,Wardrobe,Fridge,Sofa,TV,Heater,ShuttleVan,Satisfaction_level,population
Oxford,280,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Sofa, Television, Water Heater",4.329492,101.136502,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,3,15
Oxford,215,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.329492,101.136502,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,3,13
Oxford,270,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.329492,101.136502,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,3,14
Oxford,330,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.329492,101.136502,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,4,1
Oxford,200,Room,0,1,1,"WiFi, Kitchen, Water Heater",4.329492,101.136502,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1
Oxford,320,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",4.329492,101.136502,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,4,15
Oxford,310,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Water Heater",4.329492,101.136502,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,3,8
Oxford ,320,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",4.329492,101.136502,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,3,10
Pangsapuri Sutera,220,Apartment,0,3,2,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Fridge",4.330136,101.145036,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,4
Standford,250,House,0,1,1,"Washing Machine, Kitchen, Fridge, Water Heater",4.32714,101.135105,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,4
Standford,900,House,0,4,4,"Washing Machine, Kitchen, Fridge, Water Heater",4.32714,101.135105,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,4
Standford ,265,Room,0,1,1,"Washing Machine, Kitchen, Fridge, Water Heater, Shuttle Van",4.32714,101.135105,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,4
trails,350,Room,0,1,1,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.319671,101.123311,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,4,3
trails,1000,Apartment,0,3,2,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.319671,101.123311,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,4,3
trails,1000,House,0,3,2,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.319671,101.123311,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,5,4
trails,1200,House,0,3,2,"Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",4.319671,101.123311,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,4,4
